이름	그룹	프로필	사용	작업	다시 정의	프로그램	로컬 주소	원격 주소	프로토콜	로컬 포트	원격 포트	권한이 부여된 사용자	권한이 부여된 컴퓨터	권한 있는 로컬 보안 주체	로컬 사용자 소유자	응용 프로그램 패키지	
핵심 네트워킹 - IGMP(Internet Group Management Protocol )(IGMP-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	IGMP	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - IPHTTPS(TCP-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	TCP	IPHTTPS	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - IPv6(IPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	IPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - IPv6용 DHCP(Dynamic Host Configuration Protocol)(DHCPV6-In)	핵심 네트워킹	모두	예	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	UDP	546	547	모두	모두	모두	모두	모두	
핵심 네트워킹 - Teredo(UDP-In)	핵심 네트워킹	모두	예	허용	아니요	%SystemRoot%\system32\svchost.exe	모두	모두	UDP	에지 통과	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 네트워크 환경 검색 알림(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 네트워크 환경 검색 요청(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 대상에 연결할 수 없음 조각화 필요(ICMPv4-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv4	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 대상에 연결할 수 없음(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 라우터 알림(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	fe80::/64	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 라우터 요청(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 매개 변수 문제(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 멀티캐스트 수신기 보고서 v2(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	로컬 서브넷	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 멀티캐스트 수신기 보고서(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	로컬 서브넷	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 멀티캐스트 수신기 완료(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	로컬 서브넷	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 멀티캐스트 수신기 쿼리(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	로컬 서브넷	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 시간 초과됨(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	System	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
핵심 네트워킹 - 패킷이 너무 큼(ICMPv6-In)	핵심 네트워킹	모두	예	허용	아니요	모두	모두	모두	ICMPv6	모두	모두	모두	모두	모두	모두	모두	
